Date,Open,High,Low,Close,Volume,Adjusted
2021/3/16,228.070007324219,229.850006103516,225.529998779297,226.929992675781,19336600,219.156875610352
2021/3/17,226.5,235.630004882812,225.809997558594,233.339996337891,16949500,225.347305297852
2021/3/18,238.559997558594,239.5,235.559997558594,236.429992675781,14822300,228.331466674805
2021/3/19,239.660003662109,241.600006103516,236.884002685547,239.789993286133,15959700,231.576370239258
2021/3/22,235.854995727539,238.529998779297,235,237.119995117188,12063200,228.997833251953
2021/3/23,237.300003051758,241.119995117188,235.5,237.669998168945,12295600,229.528991699219
2021/3/24,236.830001831055,237.300003051758,229.240005493164,229.589996337891,15949900,221.725769042969
2021/3/25,225,229.240005493164,222.5,222.720001220703,24819800,215.091094970703
2021/3/26,222,229.238998413086,220.419998168945,227.259994506836,22030800,219.475570678711
2021/3/29,225.490005493164,232.380004882812,225.100006103516,231.860000610352,18029100,223.918014526367
2021/3/30,229.270004272461,230.449996948242,226.639999389648,229.25,14828700,221.397415161133
2021/3/31,229.889999389648,231.520004272461,226.470001220703,226.729995727539,16825400,218.963729858398
2021/4/1,230.679992675781,231.25,223.5,224.360000610352,23497500,216.674911499023
